Date,Open,High,Low,Close,Vol.,Change %
"May 12, 2021",169.42,169.77,168.83,168.94,964.25K,-0.30%
"May 11, 2021",170.13,170.25,169.39,169.45,997.63K,-0.49%
"May 10, 2021",170.18,170.32,169.97,170.29,561.91K,-0.11%
"May 07, 2021",170.43,170.98,170.2,170.47,1.00M,-0.07%
"May 06, 2021",170.57,170.88,170.23,170.59,823.07K,0.07%
"May 05, 2021",170.62,170.64,170.2,170.47,705.69K,-0.11%
"May 04, 2021",170.15,170.8,169.89,170.66,877.24K,0.29%
"May 03, 2021",169.98,170.34,169.47,170.16,611.31K,0.09%
"Apr 30, 2021",169.79,170.19,169.77,170.0,746.52K,0.07%
"Apr 29, 2021",170.61,170.64,169.66,169.88,929.25K,-0.35%
"Apr 28, 2021",170.59,170.67,170.04,170.48,803.04K,-0.16%
"Apr 27, 2021",170.75,170.91,170.51,170.76,564.46K,-0.04%
"Apr 26, 2021",170.75,170.95,170.46,170.83,576.13K,0.00%
"Apr 23, 2021",171.02,171.13,170.67,170.83,617.36K,-0.06%
"Apr 22, 2021",171.02,171.27,170.53,170.94,845.85K,0.04%
"Apr 21, 2021",170.82,171.12,170.61,170.88,697.04K,0.08%
"Apr 20, 2021",170.38,170.93,170.09,170.74,820.26K,0.15%
"Apr 19, 2021",170.94,171.07,170.17,170.48,819.39K,-0.25%
"Apr 16, 2021",171.28,171.31,170.77,170.91,647.84K,-0.25%
"Apr 15, 2021",170.66,171.52,170.6,171.33,775.72K,0.27%
"Apr 14, 2021",171.57,171.62,170.66,170.87,748.30K,-0.23%
"Apr 13, 2021",171.22,171.54,170.98,171.26,852.16K,-0.02%
"Apr 12, 2021",171.25,171.87,171.23,171.3,664.71K,-0.04%
"Apr 09, 2021",171.98,172.07,171.15,171.37,734.48K,-0.30%
"Apr 08, 2021",171.67,172.12,171.63,171.89,573.51K,0.13%
"Apr 07, 2021",171.67,172.06,171.6,171.67,666.40K,-0.01%
"Apr 06, 2021",171.55,171.89,171.32,171.68,595.43K,-0.03%
